Name,File Name,Size,File
distribute vertical bottom,distribute-vertical-bottom.svg,16,https://wentin.github.io/elementary-icons/svg/16/distribute-vertical-bottom.svg
distribute vertical center,distribute-vertical-center.svg,16,https://wentin.github.io/elementary-icons/svg/16/distribute-vertical-center.svg
distribute vertical gaps,distribute-vertical-gaps.svg,16,https://wentin.github.io/elementary-icons/svg/16/distribute-vertical-gaps.svg
distribute vertical top,distribute-vertical-top.svg,16,https://wentin.github.io/elementary-icons/svg/16/distribute-vertical-top.svg
distributor logo,distributor-logo.svg,16,https://wentin.github.io/elementary-icons/svg/16/distributor-logo.svg
document edit,document-edit.svg,16,https://wentin.github.io/elementary-icons/svg/16/document-edit.svg
document new,document-new.svg,16,https://wentin.github.io/elementary-icons/svg/16/document-new.svg
document open recent,document-open-recent.svg,16,https://wentin.github.io/elementary-icons/svg/16/document-open-recent.svg
document open,document-open.svg,16,https://wentin.github.io/elementary-icons/svg/16/document-open.svg
document page setup,document-page-setup.svg,16,https://wentin.github.io/elementary-icons/svg/16/document-page-setup.svg
document revert rtl,document-revert-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/document-revert-rtl.svg
document revert,document-revert.svg,16,https://wentin.github.io/elementary-icons/svg/16/document-revert.svg
document rtl,document-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/document-rtl.svg
document save,document-save.svg,16,https://wentin.github.io/elementary-icons/svg/16/document-save.svg
document send,document-send.svg,16,https://wentin.github.io/elementary-icons/svg/16/document-send.svg
document,document.svg,16,https://wentin.github.io/elementary-icons/svg/16/document.svg
drive cdrom,drive-cdrom.svg,16,https://wentin.github.io/elementary-icons/svg/16/drive-cdrom.svg
drive harddisk solidstate,drive-harddisk-solidstate.svg,16,https://wentin.github.io/elementary-icons/svg/16/drive-harddisk-solidstate.svg
drive harddisk usb,drive-harddisk-usb.svg,16,https://wentin.github.io/elementary-icons/svg/16/drive-harddisk-usb.svg
drive harddisk,drive-harddisk.svg,16,https://wentin.github.io/elementary-icons/svg/16/drive-harddisk.svg
drive optical,drive-optical.svg,16,https://wentin.github.io/elementary-icons/svg/16/drive-optical.svg
drive removable media usb,drive-removable-media-usb.svg,16,https://wentin.github.io/elementary-icons/svg/16/drive-removable-media-usb.svg
drive removable media,drive-removable-media.svg,16,https://wentin.github.io/elementary-icons/svg/16/drive-removable-media.svg
edit copy,edit-copy.svg,16,https://wentin.github.io/elementary-icons/svg/16/edit-copy.svg
edit cut,edit-cut.svg,16,https://wentin.github.io/elementary-icons/svg/16/edit-cut.svg
edit delete,edit-delete.svg,16,https://wentin.github.io/elementary-icons/svg/16/edit-delete.svg
edit find,edit-find.svg,16,https://wentin.github.io/elementary-icons/svg/16/edit-find.svg
edit flag,edit-flag.svg,16,https://wentin.github.io/elementary-icons/svg/16/edit-flag.svg
edit paste,edit-paste.svg,16,https://wentin.github.io/elementary-icons/svg/16/edit-paste.svg
edit redo rtl,edit-redo-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/edit-redo-rtl.svg
edit redo,edit-redo.svg,16,https://wentin.github.io/elementary-icons/svg/16/edit-redo.svg
edit select all,edit-select-all.svg,16,https://wentin.github.io/elementary-icons/svg/16/edit-select-all.svg
edit undo rtl,edit-undo-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/edit-undo-rtl.svg
edit undo,edit-undo.svg,16,https://wentin.github.io/elementary-icons/svg/16/edit-undo.svg
edit,edit.svg,16,https://wentin.github.io/elementary-icons/svg/16/edit.svg
emblem readonly,emblem-readonly.svg,16,https://wentin.github.io/elementary-icons/svg/16/emblem-readonly.svg
emblem symbolic link,emblem-symbolic-link.svg,16,https://wentin.github.io/elementary-icons/svg/16/emblem-symbolic-link.svg
emblem unreadable,emblem-unreadable.svg,16,https://wentin.github.io/elementary-icons/svg/16/emblem-unreadable.svg
empty,empty.svg,16,https://wentin.github.io/elementary-icons/svg/16/empty.svg
event new,event-new.svg,16,https://wentin.github.io/elementary-icons/svg/16/event-new.svg
exec,exec.svg,16,https://wentin.github.io/elementary-icons/svg/16/exec.svg
extension,extension.svg,16,https://wentin.github.io/elementary-icons/svg/16/extension.svg
face angel,face-angel.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-angel.svg
face angry,face-angry.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-angry.svg
face cool,face-cool.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-cool.svg
face crying,face-crying.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-crying.svg
face devilish,face-devilish.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-devilish.svg
face embarrassed,face-embarrassed.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-embarrassed.svg
face heart broken,face-heart-broken.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-heart-broken.svg
face heart,face-heart.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-heart.svg
face kiss,face-kiss.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-kiss.svg
face laugh,face-laugh.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-laugh.svg
face plain,face-plain.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-plain.svg
face raspberry,face-raspberry.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-raspberry.svg
face sad,face-sad.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-sad.svg
face sick,face-sick.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-sick.svg
face smile big,face-smile-big.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-smile-big.svg
face smile,face-smile.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-smile.svg
face smirk,face-smirk.svg,16,https://wentin.github.io/elementary-icons/svg/16/face-smirk.svg
